attribute_id|entity_type_id|attribute_code|to_be_deleted|attribute_model|backend_model|backend_type|backend_table|frontend_model|frontend_input|frontend_label|frontend_class|source_model|is_required|is_user_defined|default_value|is_unique|note|backend_renderer|frontend_input_renderer|is_global|is_visible|is_searchable|is_filterable|is_comparable|is_visible_on_front|is_html_allowed_on_front|is_used_for_price_rules|is_filterable_in_search|used_in_product_listing|used_for_sort_by|apply_to|is_visible_in_advanced_search|position|is_wysiwyg_enabled|is_used_for_promo_rules|is_required_in_admin_store|is_used_in_grid|is_visible_in_grid|is_filterable_in_grid|search_weight|additional_data|_options||
98|4|minimal_price|no|||decimal|||price|Minimal Price|||0|0||0||||0|0|0|0|0|0|0|0|0|0|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|0|0|0|1
99|4|visibility|no|||int|||select|Visibility||Magento\Catalog\Model\Product\Visibility|0|0|4|0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|1|0|0|0|1||||
100|4|custom_design|no|||varchar|||select|New Theme||Magento\Theme\Model\Theme\Source\Theme|0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|1|1||||
101|4|custom_design_from|no||Magento\Catalog\Model\Attribute\Backend\Startdate|datetime|||date|Active From|||0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|0|1||||
102|4|custom_design_to|no||Magento\Eav\Model\Entity\Attribute\Backend\Datetime|datetime|||date|Active To|||0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|0|1||||
103|4|custom_layout_update|no||Magento\Catalog\Model\Attribute\Backend\Customlayoutupdate|text|||textarea|Layout Update XML|||0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
104|4|page_layout|no|||varchar|||select|Layout||Magento\Catalog\Model\Product\Attribute\Source\Layout|0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|0|1||||
105|4|category_ids|no||Magento\Catalog\Model\Product\Attribute\Backend\Category|static|||text|Categories|||0|0||0|||Magento\Catalog\Block\Adminhtml\Product\Helper\Form\Category|1|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
106|4|options_container|no|||varchar|||select|Display Product Options In||Magento\Catalog\Model\Entity\Product\Attribute\Design\Options\Container|0|0|container2|0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
107|4|required_options|no|||static|||text||||0|0||0||||1|0|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
108|4|has_options|no|||static|||text||||0|0||0||||1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
109|4|image_label|no|||varchar|||text|Image Label|||0|0||0||||0|0|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
110|4|small_image_label|no|||varchar|||text|Small Image Label|||0|0||0||||0|0|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
111|4|thumbnail_label|no|||varchar|||text|Thumbnail Label|||0|0||0||||0|0|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
112|4|created_at|no|||static|||date||||1|0||0||||1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
113|4|updated_at|no|||static|||date||||1|0||0||||1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
114|4|country_of_manufacture|no|||varchar|||select|Country of Manufacture||Magento\Catalog\Model\Product\Attribute\Source\Countryofmanufacture|0|0||0||||2|1|0|0|0|0|0|0|0|0|0|simple|bundle|grouped|configurable|0|0|0|0|0|1|0|1|1|
115|4|quantity_and_stock_status|no||Magento\Catalog\Model\Product\Attribute\Backend\Stock|int|||select|Quantity||Magento\CatalogInventory\Model\Source\Stock|0|0|1|0|||Magento\CatalogInventory\Block\Adminhtml\Form\Field\Stock|1|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
116|4|custom_layout|no|||varchar|||select|New Layout||Magento\Catalog\Model\Product\Attribute\Source\Layout|0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|0|1||||
119|4|url_key|no|||varchar|||text|URL Key|||0|0||0||||0|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|1|0|1|1||||
120|4|url_path|no|||varchar|||text||||0|0||0||||0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
121|4|msrp|no||Magento\Catalog\Model\Product\Attribute\Backend\Price|decimal|||price|Manufacturer's Suggested Retail Price|||0|0||0|||Magento\Msrp\Block\Adminhtml\Product\Helper\Form\Type|1|1|0|0|0|0|0|0|0|1|0|simple|virtual|downloadable|bundle|configurable|0|0|0|0|0|1|0|1|1
122|4|msrp_display_actual_price_type|no||Magento\Catalog\Model\Product\Attribute\Backend\Boolean|varchar|||select|Display Actual Price||Magento\Msrp\Model\Product\Attribute\Source\Type\Price|0|0|0|0|||Magento\Msrp\Block\Adminhtml\Product\Helper\Form\Type\Price|2|1|0|0|0|0|0|0|0|1|0|simple|virtual|downloadable|bundle|configurable|0|0|0|0|0|0|0|0|1
123|4|price_type|no|||int|||boolean|Dynamic Price|||1|0|0|0||||1|1|0|0|0|0|0|0|0|1|0|bundle|0|0|0|0|0|0|0|0|1||||
124|4|sku_type|no|||int|||boolean|Dynamic SKU|||1|0|0|0||||1|1|0|0|0|0|0|0|0|0|0|bundle|0|0|0|0|0|0|0|0|1||||
125|4|weight_type|no|||int|||boolean|Dynamic Weight|||1|0|0|0||||1|1|0|0|0|0|0|0|0|1|0|bundle|0|0|0|0|0|0|0|0|1||||
126|4|price_view|no|||int|||select|Price View||Magento\Bundle\Model\Product\Attribute\Source\Price\View|1|0||0||||1|1|0|0|0|0|0|0|0|1|0|bundle|0|0|0|0|0|0|0|0|1||||
127|4|shipment_type|no|||int|||select|Ship Bundle Items||Magento\Bundle\Model\Product\Attribute\Source\Shipment\Type|1|0|0|0||||1|1|0|0|0|0|0|0|0|1|0|bundle|0|0|0|0|0|0|0|0|1||||
128|4|links_purchased_separately|no|||int||||Links can be purchased separately|||1|0||0||||1|0|0|0|0|0|0|0|0|1|0|downloadable|0|0|0|0|0|0|0|0|1||||
129|4|samples_title|no|||varchar||||Samples title|||1|0||0||||0|0|0|0|0|0|0|0|0|0|0|downloadable|0|0|0|0|0|0|0|0|1||||
130|4|links_title|no|||varchar||||Links title|||1|0||0||||0|0|0|0|0|0|0|0|0|0|0|downloadable|0|0|0|0|0|0|0|0|1||||
131|4|links_exist|no|||int|||||||0|0|0|0||||1|0|0|0|0|0|0|0|0|1|0|downloadable|0|0|0|0|0|0|0|0|1||||
132|4|swatch_image|no|||varchar||Magento\Catalog\Model\Product\Attribute\Frontend\Image|media_image|Swatch|||0|0||0||||0|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
133|4|tax_class_id|no|||int|||select|Tax Class||Magento\Tax\Model\TaxClass\Source\Product|0|0|2|0||||2|1|1|0|0|0|0|0|0|1|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|1|0|1|1
134|4|gift_message_available|no||Magento\Catalog\Model\Product\Attribute\Backend\Boolean|varchar|||select|Allow Gift Message||Magento\Catalog\Model\Product\Attribute\Source\Boolean|0|0||0|||Magento\GiftMessage\Block\Adminhtml\Product\Helper\Form\Config|1|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|0|1||||
